record_id,title,year,source,Final_decision,Final_reason_code,Final_notes,FullText_needed
R00001,Exercise-based cardio-oncology rehabilitation for cardiotoxicity prevention during breast cancer chemotherapy: The ONCORE randomized controlled trial.,2024.0,PubMed,INCLUIR,,Cumple criterios en T/A; pasar a texto completo,SÍ
R00002,Exercise for the Prevention of Anthracycline-Induced Functional Disability and Cardiac Dysfunction: The BREXIT Study.,2023.0,PubMed,INCLUIR,,Cumple criterios en T/A; pasar a texto completo,SÍ
R00003,New anthracycline antitumor antibiotics.,1991.0,PubMed,EXCLUIR,TA2,No parece intervención de ejercicio/entrenamiento (según T/A),NO
R00004,The Effect of Exercise on Cardiotoxicity in Women with Breast Cancer Receiving Anthracycline-Based Chemotherapy: A Systematic Review and Meta-Analysis.,2024.0,PubMed,INCLUIR,,Cumple criterios en T/A; pasar a texto completo,SÍ
R00005,Lapatinib plus capecitabine in patients with HER2-positive metastatic breast cancer: A systematic review,2018.0,PubMed,EXCLUIR,TA2,No parece intervención de ejercicio/entrenamiento (según T/A),NO
R00006,Effects of exercise training on cardiac toxicity markers in women with breast cancer undergoing chemotherapy with anthracyclines: a randomized controlled trial.,2023.0,PubMed,INCLUIR,,Cumple criterios en T/A; pasar a texto completo,SÍ
R00007,Effect of anthracycline combined with aerobic exercise on the treatment of breast cancer.,2018.0,PubMed,DUDA,TA4,No queda claro que sea ECA/RCT en T/A,SÍ
R00008,TITAN Trial: A Randomized Controlled Trial of a Cardiac Rehabilitation Care Model in Breast Cancer.,2023.0,PubMed,INCLUIR,,Cumple criterios en T/A; pasar a texto completo,SÍ
R00009,Effects of exercise during chemotherapy for breast cancer on long-term cardiovascular toxicity.,2023.0,PubMed,INCLUIR,,Cumple criterios en T/A; pasar a texto completo,SÍ
R00010,A randomized trial to evaluate the impact of exercise-based cardiac rehabilitation for the prevention of chemotherapy-induced cardiotoxicity in patients with breast cancer: ONCORE study protocol.,2021.0,PubMed,INCLUIR,,Cumple criterios en T/A; pasar a texto completo,SÍ
R00011,Impact of exercise training on cardiotoxicity and cardiac health outcomes in women with breast cancer anthracycline chemotherapy: a study protocol for a randomized controlled trial.,2019.0,PubMed,INCLUIR,,Cumple criterios en T/A; pasar a texto completo,SÍ
R00012,Protective effects of acute exercise prior to doxorubicin on cardiac function of breast cancer patients: A proof-of-concept RCT.,2017.0,PubMed,INCLUIR,,Cumple criterios en T/A; pasar a texto completo,SÍ
R00013,Exercise as a diagnostic and therapeutic tool for preventing cardiovascular morbidity in breast cancer patients- the BReast cancer EXercise InTervention (BREXIT) trial protocol.,2020.0,PubMed,INCLUIR,,Cumple criterios en T/A; pasar a texto completo,SÍ
