Estudio (familia),Reporte (record_id),Desenlace,Tiempo,Estimador,Efecto (EX−C),IC95%,Unidad,Dirección (SWiM),Criterio (más alto=mejor),Fuente (tabla/página),Nota sobre IC
Foulkes_2023_BREXIT,R00002,VO₂peak,Δ 4 meses,Diferencia neta (ΔE−ΔC),1.4,0.50 a 2.30,mL/kg/min,Favorece ejercicio,sí,"Foulkes 2023, Tabla 2, pág PDF 8 (p.539)",IC95% reportado en el artículo
Foulkes_2023_BREXIT,R00002,VO₂peak,Δ 12 meses,Diferencia neta (ΔE−ΔC),3.5,2.10 a 4.90,mL/kg/min,Favorece ejercicio,sí,"Foulkes 2023, Tabla 2, pág PDF 8 (p.539)",IC95% reportado en el artículo
Foulkes_2023_BREXIT,R00002,BNP,Δ 4 meses,Diferencia neta (ΔE−ΔC),8.5,-11.40 a 28.50,ng/L,Sin diferencia clara,no,"Foulkes 2023, Tabla 3, pág PDF 10 (p.541)",IC95% reportado en el artículo
Foulkes_2023_BREXIT,R00002,BNP,Δ 12 meses,Diferencia neta (ΔE−ΔC),2.9,-21.50 a 15.70,ng/L,Sin diferencia clara,no,"Foulkes 2023, Tabla 3, pág PDF 10 (p.541)",IC95% reportado en el artículo
Foulkes_2023_BREXIT,R00002,Troponina I (cTnI),Δ 4 meses,Diferencia neta (ΔE−ΔC),20.8,0.10 a 41.50,ng/L,Favorece control,no,"Foulkes 2023, Tabla 3, pág PDF 10 (p.541)",IC95% reportado en el artículo
Chung_2022_RealTimeExercise_RCT,R00113,VO₂,"1,5 meses",DM post (EX−CTL),2.4,0.58 a 4.22,mL/kg/min,Favorece ejercicio,sí,"Chung 2022, Tabla 3, (PDF ~p.7)","IC95% calculado (media±DE, n; no ajustado por basal)"
Chung_2022_RealTimeExercise_RCT,R00113,VO₂,3 meses,DM post (EX−CTL),1.2,-0.44 a 2.84,mL/kg/min,Sin diferencia clara,sí,"Chung 2022, Tabla 3, (PDF ~p.7)","IC95% calculado (media±DE, n; no ajustado por basal)"
Chung_2022_RealTimeExercise_RCT,R00113,VO₂,6 meses,DM post (EX−CTL),1.5,-0.11 a 3.11,mL/kg/min,Sin diferencia clara,sí,"Chung 2022, Tabla 3, (PDF ~p.7)","IC95% calculado (media±DE, n; no ajustado por basal)"
Kirkham_2018_BCRTT_acute_prechemo,R00012,NT-proBNP,Agudo (~24–48 h),DM post (EX−CTL),-109.0,-207.56 a -10.44,pg/mL,Favorece ejercicio,no,"Kirkham 2017, Tabla 2 (pág PDF 6)","IC95% calculado (media±DE, n; no ajustado por basal)"
Kirkham_2018_BCRTT_acute_prechemo,R00012,Troponina T (cTnT),Agudo (~24–48 h),DM post (EX−CTL),0.7,-1.62 a 3.02,pg/mL,Sin diferencia clara,no,"Kirkham 2017, Tabla 2 (pág PDF 6)","IC95% calculado (media±DE, n; no ajustado por basal)"
Kirkham_2018_BCRTT_acute_prechemo,R00027,NT-proBNP,Fin de tratamiento,DM post (EX−CTL),29.0,-19.26 a 77.26,pg/mL,Sin diferencia clara,no,"Kirkham 2018, Tabla 2 (texto extraído; p.719–729)","IC95% calculado (media±DE, n; no ajustado por basal)"
Kirkham_2018_BCRTT_acute_prechemo,R00027,Troponina T (cTnT),Fin de tratamiento,DM post (EX−CTL),0.1,-5.16 a 5.36,pg/mL,Sin diferencia clara,no,"Kirkham 2018, Tabla 2 (texto extraído; p.719–729)","IC95% calculado (media±DE, n; no ajustado por basal)"
Hojan_2020_REH_HER,R00032,hsCRP,Post-intervención (T2),DM post (IG−CG),0.3,-1.56 a 2.16,mg/L,Sin diferencia clara,no,"Hojan 2020, Tabla 4, pág PDF 9 (J Clin Med 2020;9:1379)","IC95% calculado (media±DE, n; no ajustado por basal)"
